stockidname,type
1785光洋科,電子化工材料/貴金屬/傳產其他
1786科妍,生物科技/時尚產業/輔助與彌補用醫材
1788杏昌,手術與治療用醫材/醫療器材通路
1789神隆,醫藥產業
1795美時,醫藥產業
1796金穎生技,生物科技
1799易威,醫藥產業
1802台玻,建材/印刷電路板相關
1805寶徠,地產
1806冠軍,建材
1808潤隆,地產
1809中釉,建材
1810和成,家居用品
1813寶利徠,傳產其他
1815富喬,印刷電路板相關
1817凱撒衛,家居用品
1903士紙,資產股/造紙業/地產
1904正隆,造紙業
1905華紙,造紙業
1906寶隆,造紙業
1907永豐餘,控股公司/化學工業/造紙業
1909榮成,造紙業
2002中鋼,線材、盤元/板鋼/條鋼
2006東和鋼鐵,條鋼
2007燁興,線材、盤元/不鏽鋼
2008高興昌,條鋼
2009第一銅,非鐵金屬
2010春源,板鋼/條鋼
2012春雨,機械/線材、盤元
2013中鋼構,條鋼
2014中鴻,板鋼
2015豐興,條鋼
2017官田鋼,線材、盤元/旅館、餐飲
2020美亞,不鏽鋼/板鋼/條鋼
2022聚亨,線材、盤元
2023燁輝,板鋼
2024志聯,線材、盤元/條鋼
2025千興,不鏽鋼
2027大成鋼,線材、盤元/不鏽鋼/非鐵金屬
2028威致,板鋼/條鋼
2029盛餘,板鋼
2030彰源,不鏽鋼
2031新光鋼,板鋼
2032新鋼,不鏽鋼
2033佳大,線材、盤元
2034允強,不鏽鋼
2035唐榮,不鏽鋼/資產股
2038海光,條鋼
2049上銀,機械
2059川湖,電子零件元件
2061風青,電線電纜
2062橋椿,家居用品
2063世鎧,線材、盤元/不鏽鋼
2064晉椿,線材、盤元/條鋼
2065世豐,線材、盤元
2066世德,線材、盤元
2067嘉鋼,機械
2069運錩,不鏽鋼
2070精湛,設備儀器廠商
2101南港,橡膠工業/資產股
2102泰豐,橡膠工業/資產股
2103台橡,橡膠工業
2104國際中橡,橡膠工業/醫藥產業
2105正新,橡膠工業
2106建大,橡膠工業
2107厚生,石化業/橡膠工業/運輸事業/資產股/地產
2108南帝,橡膠工業
2109華豐,橡膠工業
2114鑫永銓,橡膠工業
2115六暉-KY,汽機車零組件
2201裕隆,汽機車零組件/資產股/車輛整車
2204中華,汽機車零組件/車輛整車
2206三陽工業,資產股/車輛整車
2207和泰車,汽機車零組件/車輛整車
2208台船,機械
2211長榮鋼,電力/條鋼/傳產其他
2221大甲,不鏽鋼
2227裕日車,汽機車零組件/車輛整車
2228劍麟,汽機車零組件/汽車內裝/傳產其他
2230泰茂,汽機車零組件/旅館、餐飲
2231為升,車用電子
2233宇隆,汽機車零組件/傳產其他
2235謚源,汽機車零組件
2239英利-KY,汽機車零組件/車用金屬成型
2241艾姆勒,汽機車零組件
2243宏旭-KY,汽機車零組件
2247汎德永業,車輛整車
2250IKKA-KY,家電/汽機車零組件
2301光寶科,汽機車零組件/車用電子/電子零件元件/通訊設備/光通訊/太陽能/LED/電子其他/週邊產品/電腦系統業
2302麗正,分離式元件
2303聯電,IC製造
2305全友,設備儀器廠商/週邊產品/診斷與監測用醫材
2308台達電,機械/汽機車零組件/車用電子/被動元件/電子零件元件/顯示器/通訊設備/軟體業/太陽能/電力設備/LED/INTERNET技術與基礎設施
2312金寶,通訊設備/手機/消費性電子產品/週邊產品/電腦系統業
2313華通,印刷電路板相關
2314台揚,通訊設備
2316楠梓電,印刷電路板相關/電腦系統業
2317鴻海,機械/車用電子/電子零件元件/顯示器/通訊設備/汽車內裝/車輛整車/手機/INTERNET技術與基礎設施/消費性電子產品/週邊產品/穿戴式裝置/遊戲產業/電腦系統業
2321東訊,通訊設備/電子通路
2323中環,IC製造/光碟片/週邊產品
2324仁寶,車用電子/顯示器/通訊設備/手機/消費性電子產品/穿戴式裝置/電腦系統業
2327國巨,被動元件
2328廣宇,電子零件元件/印刷電路板相關/電腦系統業
2329華泰,IC封裝測試/電腦系統業
2330台積電,IC製造
2331精英,消費性電子產品/電腦系統業
2332友訊,通訊設備/消費性電子產品
2337旺宏,IC製造
2338光罩,IC製造
2340台亞,顯示器/LED/分離式元件
2342茂矽,IC製造
2344華邦電,IC製造
2345智邦,通訊設備
2347聯強,電子通路
2348海悅,地產
2349錸德,光碟片/週邊產品
2351順德,手機零組件/封測服務與材料/傳產其他
2352佳世達,顯示器/通訊設備/其他醫療器材/消費性電子產品/電腦系統業/診斷與監測用醫材/醫療管理服務
2354鴻準,電子零件元件/電腦系統業
2355敬鵬,印刷電路板相關
2356英業達,生物科技/電腦系統業
2357華碩,手機/穿戴式裝置/電腦系統業
2358廷鑫,非鐵金屬
2359所羅門,電力設備/面板業/電子通路/設備儀器廠商
2360致茂,設備儀器廠商/封測服務與材料
2362藍天,資產股/電腦系統業/地產
2363矽統,IC設計
2364倫飛,電腦系統業
2365昆盈,車用電子/電聲產品/消費性電子產品/週邊產品
2367燿華,印刷電路板相關
2368金像電,印刷電路板相關
2369菱生,IC封裝測試
2371大同,家電/顯示器/軟體業/資產股/電力設備/電線電纜/電子通路
2373震旦行,家居用品/電子其他
2374佳能,數位相機/手機零組件
2375凱美,被動元件
2376技嘉,週邊產品/電腦系統業
2377微星,週邊產品/電腦系統業
2379瑞昱,IC設計
