stockidname,type
4109加捷生醫,生物科技
4111濟生,醫藥產業
4113聯上,地產
4114健喬,生物科技/醫藥產業
4116明基醫,其他醫療器材/診斷與監測用醫材/輔助與彌補用醫材
4119旭富,醫藥產業
4120友華,生物科技/醫藥產業
4121優盛,體外診斷用醫材/醫藥產業/診斷與監測用醫材
4123晟德,醫藥產業
4126太醫,其他醫療器材
4127天良,生物科技/醫藥產業
4128中天,生物科技/醫藥產業
4129聯合,輔助與彌補用醫材
4130健亞,醫藥產業
4131晶宇,體外診斷用醫材
4133亞諾法,體外診斷用醫材/醫藥產業
4137麗豐-KY,時尚產業
4138曜亞,手術與治療用醫材/醫療器材通路
4139馬光-KY,醫療管理服務
4142國光生,醫藥產業
4147中裕,醫藥產業
4148全宇生技-KY,生物科技/化學工業
4153鈺緯,顯示器/電腦系統業
4154樂威科-KY,傳產其他
4155訊映,體外診斷用醫材
4157太景*-KY,醫藥產業
4160創源,生物科技/診斷與監測用醫材/醫療管理服務
4161聿新科,生物科技/體外診斷用醫材/時尚產業
4162智擎,醫藥產業
4163鐿鈦,其他醫療器材/輔助與彌補用醫材/傳產其他
4164承業醫,控股公司/醫藥產業/醫療器材通路/醫療管理服務
4167松瑞藥,醫藥產業
4168醣聯,醫藥產業
4171瑞基,生物科技/體外診斷用醫材
4173久裕,醫藥產業
4174浩鼎,醫藥產業
4175杏一,醫藥產業/醫療器材通路
4183福永生技,體外診斷用醫材
4188安克,診斷與監測用醫材
4190佐登-KY,時尚產業
4192杏國,醫藥產業
4198欣大健康,診斷與監測用醫材
4205中華食,食品加工
4207環泰,大宗物資
4303信立,石化業
4304勝昱,石化業/化學工業
4305世坤,石化業
4306炎洲,石化業/化學工業
4401東隆興,化纖原料/紡織中游
4402福大,紡織中游
4406新昕纖,化纖原料
4413飛寶企業,成衣/紡織中游
4414如興,成衣
4416三圓,地產
4417金洲,紡織中游
4419元勝,紡織中游/旅館、餐飲
4420光明,化纖原料
4426利勤,紡織中游/傳產其他
4430耀億,化纖原料/紡織中游
4432銘旺實,成衣
4433興采,成衣/紡織中游
4438廣越,成衣/紡織中游
4439冠星-KY,紡織中游
4440宜新實業,紡織中游
4502健信,汽機車零組件
4503金雨,電力設備/電腦系統業/傳產其他
4506崇友,建材
4510高鋒,機械
4513福裕,機械
4523永彰,機械/電力設備/汽車內裝
4526東台,機械/印刷電路板相關
4527方土霖,機械
4528江興鍛,機械/汽機車零組件/車用金屬成型
4529淳紳,車輛整車
4530宏易,汽車內裝/旅館、餐飲
4532瑞智,機械
4533協易機,機械
4534慶騰,傳產其他
4535至興,汽機車零組件/汽車內裝
4536拓凱,航天軍工/傳產其他/運動產業
4538大詠城,機械
4540全球傳動,機械
4541晟田,機械/航天軍工
4542科嶠,設備儀器廠商
4543萬在,汽機車零組件/汽車內裝
4545銘鈺,機械/電子零件元件
4549桓達,機械
4550長佳,營造工程/休閒娛樂/電力設備
4551智伸科,汽機車零組件/傳產其他
4552力達-KY,機械
4554橙的,車用電子
4555氣立,機械
4556旭然,水資源
4557永新-KY,汽機車零組件
4558寶緯,非鐵金屬/建材
4560強信-KY,機械
4561健椿,機械
4562穎漢,機械
4563百德,機械
4564元翎,汽車內裝/傳產其他
4566時碩工業,汽機車零組件/傳產其他
4568科際精密,機械
4571鈞興-KY,機械
4572駐龍,機械
4576大銀微系統,機械
4577達航科技,印刷電路板相關/電腦系統業
4580捷流閥業,機械
4581光隆精密-KY,汽機車零組件/車用金屬成型/電力
4583台灣精銳,機械
4584君帆,機械
4609唐鋒,家電
4702中美實,化學工業/車輛整車/流通業
4706大恭,化學工業
4707磐亞,化學工業
4711永純,化學工業
4712南璋,機械/消費性電子產品/診斷與監測用醫材
4714永捷,化學工業
4716大立,化學工業
4720德淵,化學工業
4721美琪瑪,電池材料相關/化學工業
4722國精化,化學工業
4726永昕,醫藥產業
4728雙美,時尚產業/輔助與彌補用醫材
4729熒茂,面板業
4735豪展,其他醫療器材/診斷與監測用醫材
4736泰博,體外診斷用醫材
4737華廣,體外診斷用醫材
4739康普,電池材料相關/電子化工材料/化學工業
4741泓瀚,化學工業
4743合一,醫藥產業
4744皇將,機械
4745合富-KY,醫療器材通路
4746台耀,醫藥產業
4747強生,醫藥產業
4754國碳科,化學工業/傳產其他
4755三福化,電子化工材料/化學工業
4760勤凱,被動元件/太陽能
4763材料-KY,化纖原料
4764雙鍵,化學工業
4766南寶,化學工業
4767誠泰科技,化學工業
4768晶呈科技,化學工業
4770上品,化學工業/傳產其他
4804大略-KY,服務業/旅館、餐飲
4806昇華,傳播事業
4807日成-KY,時尚產業
4903聯光通,光通訊
4904遠傳,通訊服務
4905台聯電,通訊設備/光通訊
4906正文,通訊設備
4907富宇,地產
4908前鼎,光通訊
4909新復興,印刷電路板相關
4911德英,生物科技/醫藥產業
4912聯德控股-KY,車用金屬成型/電子零件元件
4915致伸,車用電子/電聲產品/週邊產品
4916事欣科,航天軍工/遊戲產業/電腦系統業
4919新唐,IC製造/IC設計
4923力士,分離式元件
4924欣厚-KY,電子零件元件/生物科技
4927泰鼎-KY,印刷電路板相關
4930燦星網,家電
4931新盛力,汽機車零組件/電力設備
4933友輝,面板零組件
4934太極,太陽能
4935茂林-KY,面板零組件/電子零件元件
4938和碩,車用電子/通訊設備/手機/消費性電子產品/穿戴式裝置/遊戲產業/電腦系統業
4939亞電,印刷電路板相關
4942嘉彰,電子零件元件
4943康控-KY,汽機車零組件/電聲產品/控股公司
4944兆遠,LED
4945陞達科技,IC設計/電子通路
4946辣椒,遊戲產業
4950牧東,家居用品
4951精拓科,IC設計
4952凌通,車用電子/電子零件元件/IC設計
4953緯軟,軟體業/INTERNET技術與基礎設施
4956光鋐,LED
4958臻鼎-KY,印刷電路板相關
4960誠美材,面板零組件
4961天鈺,手機零組件/IC設計
4966譜瑞-KY,傳輸介面/IC設計
4967十銓,電子零件元件/週邊產品
4968立積,射頻前端晶片
4971IET-KY,IC製造
4972湯石照明,家電/LED
4973廣穎,電子零件元件
4974亞泰,數位相機
4976佳凌,數位相機
4977眾達-KY,光通訊
4979華星光,光通訊
4987科誠,週邊產品
4989榮科,印刷電路板相關
4991環宇-KY,IC製造
4994傳奇,遊戲產業
4995晶達,顯示器/面板業
4999鑫禾,電子零件元件
5007三星,線材、盤元
5009榮剛,不鏽鋼/合金鋼
5011久陽,線材、盤元
5013強新,線材、盤元/不鏽鋼
5014建錩,不鏽鋼
5015華祺,不鏽鋼
5016松和,線材、盤元/條鋼
5201凱衛,軟體業
5202力新,軟體業/醫療器材通路
5203訊連,軟體業/INTERNET技術與基礎設施
5205中茂,營造工程/水資源
5206坤悅,地產
5209新鼎,軟體業/INTERNET技術與基礎設施
5210寶碩,軟體業/電力
5211蒙恬,週邊產品
5212凌網,軟體業/消費性電子產品
5213亞昕,地產
5215科嘉-KY,週邊產品
5220萬達光電,面板業
5222全訊,IC製造/射頻前端晶片
5223安力-KY,電子零件元件
5225東科-KY,電子零件元件
5227立凱-KY,電池材料相關
5228鈺鎧,被動元件
5230雷笛克光學,電子零件元件/LED
5234達興材料,電子化工材料
5236凌陽創新,IC設計
5243乙盛-KY,車用金屬成型/電子零件元件
5244弘凱,LED
5245智晶,面板業
5251天鉞電,消費性電子產品
5258虹堡,電腦系統業
5263智崴,軟體業/遊戲產業
5269祥碩,傳輸介面/IC設計
5272笙科,IC設計
5274信驊,IC設計
5276達輝-KY,汽機車零組件/傳產其他
5278尚凡,INTERNET應用與服務
5281大峽谷-KY,LED
5283禾聯碩,家電/顯示器
5284jpp-KY,電子零件元件
5285界霖,封測服務與材料
5287數字,INTERNET應用與服務/服務業/車輛整車/地產
5288豐祥-KY,汽機車零組件/車用金屬成型
5289宜鼎,電子零件元件/週邊產品
5291邑昇,機械/印刷電路板相關
5299杰力,IC設計/分離式元件
5301寶得利,旅館、餐飲/時尚產業
5302太欣,IC設計
5306桂盟,機械
5309系統電,汽機車零組件/車用電子/電子零件元件/電力設備/週邊產品/電腦系統業
5310天剛,軟體業/遊戲產業
5312寶島科,傳產其他
5314世紀,車用電子/IC設計/消費性電子產品
5315光聯,面板業
5321美而快,INTERNET應用與服務
5324士開,地產/旅館、餐飲
5328華容,被動元件
5340建榮,印刷電路板相關
5344立衛,IC封裝測試
5345天揚,家居用品/電力設備
5347世界,IC製造
5348系通,通訊設備
5351鈺創,IC設計
5353台林,車用電子/通訊設備/電腦系統業
5355佳總,LED/印刷電路板相關
5356協益,電子零件元件/週邊產品
5364力麗店,旅館、餐飲
5371中光電,面板零組件/顯示器
5381合正,印刷電路板相關
5383金利,電子零件元件/LED/封測服務與材料
5386青雲,電子通路
5388中磊,通訊設備
5392能率,機械/汽機車零組件/電子零件元件
5398慕康生醫,生物科技/醫藥產業/醫療器材通路
5403中菲,軟體業
5410國眾,軟體業/傳產其他
5425台半,分離式元件/週邊產品
5426振發,電子零件元件
5432新門,面板業
5434崇越,營造工程/電子通路
5438東友,電子其他/週邊產品
5439高技,印刷電路板相關
5443均豪,機械/設備儀器廠商
5450南良,電子零件元件/紡織中游
5452佶優,石化業/電子通路
5455昇益,地產
5457宣德,電子零件元件/電聲產品/電腦系統業
5460同協,電子零件元件
5464霖宏,印刷電路板相關
5465富驊,電子零件元件
5468凱鈺,IC設計
5469瀚宇博,印刷電路板相關/電腦系統業
5471松翰,IC設計
5474聰泰,消費性電子產品
5475德宏,印刷電路板相關
5478智冠,軟體業/傳播事業/遊戲產業
5481新華,服務業/地產
5483中美晶,IC製造/太陽能
5484慧友,消費性電子產品
5487通泰,IC設計
5488松普,電子零件元件
5489彩富,消費性電子產品
5490同亨,電腦系統業
5493三聯,電子化工材料/設備儀器廠商
5498凱崴,印刷電路板相關/電腦系統業
5508永信建,地產
5511德昌,營造工程
5512力麒,營造工程/地產/旅館、餐飲
5514三豐,地產
5515建國,營造工程
5516雙喜,營造工程
5519隆大,地產
5520力泰,水泥
5521工信,營造工程
5522遠雄,地產
5523豐謙,地產
5525順天,地產
5529鉅陞,地產
5530龍巖,服務業
5531鄉林,地產/旅館、餐飲
5533皇鼎,地產
5534長虹,地產
5536聖暉*,營造工程/電子其他
5538東明-KY,不鏽鋼
5543桓鼎-KY,電子零件元件/電力設備/建材
5546永固-KY,水泥
5601台聯櫃,運輸事業
5603陸海,運輸事業/其他公用事業
5604中連,地產
5607遠雄港,運輸事業/控股公司/地產
5608四維航,運輸事業
5609中菲行,運輸事業
5701劍湖山,休閒娛樂/旅館、餐飲
5703亞都,旅館、餐飲
5704老爺知,旅館、餐飲
5706鳳凰,休閒娛樂
5864致和證,金融業
5871中租-KY,金融業/控股公司/車輛整車
5876上海商銀,金融業
5878台名,金融業
5880合庫金,金融業
5902德記,飲料相關/流通業
5903全家,流通業
5904寶雅,流通業
5905南仁湖,休閒娛樂/服務業/旅館、餐飲
5906台南-KY,成衣/運動產業
5907大洋-KY,流通業
6005群益證,金融業
6015宏遠證,金融業
6016康和證,金融業
6020大展證,金融業
6021美好證,金融業
6023元大期,金融業
6024群益期,金融業
6026福邦證,金融業
6101寬魚國際,傳播事業
6103合邦,IC製造/IC設計
6104創惟,傳輸介面/IC設計
6108競國,印刷電路板相關
6109亞元,電子零件元件
6111大宇資,遊戲產業
6112邁達特,軟體業
6113亞矽,電子通路
6114久威,電子通路
6115鎰勝,電子零件元件
6116彩晶,面板業
6117迎廣,電子零件元件
6118建達,電子通路
6120達運,面板零組件/面板業
6121新普,汽機車零組件/電子零件元件/電力設備
6122擎邦,營造工程/電子其他
6123上奇,軟體業/電子通路
6124業強,電子零件元件
6125廣運,機械/太陽能/設備儀器廠商
6126信音,電子零件元件
6127九豪,被動元件
6128上福,週邊產品
6129普誠,IC設計
6130星寶國際,醫藥產業/醫療器材通路/醫療管理服務
6133金橋,電子零件元件
6134萬旭,電子零件元件/通訊設備/手機
6136富爾特,軟體業/INTERNET應用與服務/電子通路
6138茂達,IC設計
6139亞翔,電子其他
6140訊達,軟體業
6141柏承,印刷電路板相關
6142友勁,通訊設備
6143振曜,電子零件元件/通訊設備/電聲產品/面板業/消費性電子產品
6144得利影,旅館、餐飲/文化創意產業
6146耕興,被動元件/設備儀器廠商
6147頎邦,IC封裝測試/封測服務與材料
6148驊宏資,軟體業/電子通路
6150撼訊,電腦系統業
6151晉倫,傳產其他
6152百一,車用電子/通訊設備/消費性電子產品
6153嘉聯益,印刷電路板相關
6154順發,電子通路
6155鈞寶,被動元件
6156松上,電子零件元件/印刷電路板相關
6158禾昌,電子零件元件
6160欣技,電腦系統業
6161捷波,電腦系統業
6163華電網,軟體業
6164華興,LED
6165浪凡,INTERNET應用與服務
6166凌華,機械/軟體業/電腦系統業
6167久正,面板業
6168宏齊,LED
6169昱泉,遊戲產業
6170統振,電子零件元件/金融業/電子通路
6171大城地產,地產
6173信昌電,被動元件
6175立敦,被動元件
6176瑞儀,面板零組件
6177達麗,地產
6179亞通,營造工程
6180橘子,軟體業/INTERNET應用與服務/遊戲產業
6182合晶,IC製造
6183關貿,軟體業/INTERNET技術與基礎設施
6184大豐電,傳播事業
6185幃翔,電子零件元件
6186新潤,地產
6187萬潤,設備儀器廠商
6188廣明,週邊產品
6189豐藝,顯示器/電子通路
6190萬泰科,電子零件元件
6191精成科,印刷電路板相關/電腦系統業
6192巨路,電子通路/設備儀器廠商
6194育富,印刷電路板相關
6195詩肯,流通業
6196帆宣,電子其他/設備儀器廠商
6197佳必琪,電子零件元件
6198瑞築,IC設計/地產
6199天品,服務業/地產
6201亞弘電,家電/電子零件元件
6202盛群,IC設計
6203海韻電,電子零件元件
6204艾華,被動元件/電子零件元件
6205詮欣,電子零件元件
6206飛捷,週邊產品/電腦系統業
6207雷科,被動元件/設備儀器廠商
6208日揚,設備儀器廠商
6209今國光,數位相機
6210慶生,印刷電路板相關
6212理銘,地產
6213聯茂,印刷電路板相關
6214精誠,軟體業/INTERNET技術與基礎設施
6215和椿,機械/設備儀器廠商
6216居易,通訊設備
6217中探針,封測服務與材料
6218豪勉,軟體業/設備儀器廠商
6219富旺,地產
6220岳豐,電子零件元件
6221晉泰,軟體業/INTERNET技術與基礎設施
6222上揚,家電/LED
6223旺矽,設備儀器廠商/封測服務與材料
6224聚鼎,被動元件/LED
6225天瀚,車用電子/顯示器
6226光鼎,LED
6227茂綸,電子通路
6228全譜,營造工程/體外診斷用醫材/建材/週邊產品
6229研通,IC設計
6230尼得科超眾,電子零件元件
6231系微,軟體業/IC設計
6233旺玖,傳輸介面/IC設計
6234高僑,印刷電路板相關/設備儀器廠商
6235華孚,汽機車零組件/電子零件元件
6236康呈,生物科技/時尚產業
6237驊訊,IC設計
6239力成,IC封裝測試
6240松崗,軟體業/地產
6241易通展,通訊設備
6242立康,生物科技/醫藥產業
6243迅杰,IC設計
6244茂迪,太陽能
6245立端,通訊設備
6246臺龍,面板零組件
6248沛波,條鋼
6257矽格,IC封裝測試
6259百徽,被動元件/電子零件元件/電子通路
6261久元,IC封裝測試/設備儀器廠商
6263普萊德,通訊設備/光通訊
6264富裔,地產
6265方土昶,電子通路
6266泰詠,電腦系統業
6269台郡,印刷電路板相關
6270倍微,電子通路
6271同欣電,IC封裝測試/LED/封測服務與材料
6274台燿,印刷電路板相關
6275元山,家電/電子零件元件
6276安鈦克,電子零件元件
6277宏正,消費性電子產品/週邊產品
6278台表科,LED/電腦系統業
6279胡連,汽機車零組件/電子零件元件
6281全國電,家電/電子通路
6282康舒,電子零件元件
6283淳安,數位相機/週邊產品
6284佳邦,電子零件元件/通訊設備
6287元隆,IC製造
6288聯嘉,LED
6290良維,電子零件元件
6291沛亨,電子零件元件/IC設計
6292迅德,電子零件元件
6294智基,服務業
6404通訊-KY,軟體業/傳播事業
6405悅城,面板零組件
6409旭隼,電子零件元件/太陽能
6411晶焱,IC設計
6412群電,電子零件元件
6414樺漢,電腦系統業
6415矽力*-KY,IC設計
6416瑞祺電通,通訊設備
6417韋僑,通訊設備
6418詠昇,電子零件元件
6419京晨科,消費性電子產品
6425易發,設備儀器廠商
6426統新,光通訊
6431光麗-KY,時尚產業
6432今展科,被動元件/電子通路
6435大中,分離式元件
6438迅得,設備儀器廠商
6441廣錠,電力設備/遊戲產業
6442光聖,電子零件元件/光通訊
6443元晶,太陽能
6446藥華藥,醫藥產業
6449鈺邦,被動元件
6451訊芯-KY,IC封裝測試
6456GIS-KY,面板業
6457紘康,IC設計
6461益得,醫藥產業
6462神盾,IC設計
6464台數科,傳播事業
6465威潤,通訊設備
6469大樹,醫藥產業/醫療器材通路
6470宇智,通訊設備
6472保瑞,生物科技/醫藥產業
6477安集,太陽能/電力
6482弘煜科,遊戲產業
6485點序,IC設計
6486互動,軟體業
6488環球晶,IC製造
6491晶碩,輔助與彌補用醫材
6492生華科,醫藥產業
6494九齊,IC設計
6496科懋,醫藥產業/醫療器材通路
6499益安,手術與治療用醫材/診斷與監測用醫材
6504南六,其他醫療器材/紡織中游
6505台塑化,石化業/石油及天然氣
6506雙邦,紡織中游/化學工業
6508惠光,石化業/化學工業
6509聚和,化學工業/傳產其他
6510精測,封測服務與材料
6512啟發電,傳輸介面/消費性電子產品
6514芮特-KY,通訊設備
6515穎崴,封測服務與材料
6516勤崴國際,軟體業
6517保勝光學,數位相機
6523達爾膚,時尚產業
6525捷敏-KY,IC封裝測試
6527明達醫,診斷與監測用醫材
6530創威,光通訊
6531愛普*,IC設計
6532瑞耘,設備儀器廠商
6533晶心科,IC設計
6535順藥,醫藥產業
6538倉和,電子其他
6541泰福-KY,醫藥產業
6542隆中,遊戲產業
6546正基,通訊設備
6547高端疫苗,醫藥產業
6548長科*,封測服務與材料
6550北極星藥業-KY,醫藥產業
6552易華電,封測服務與材料
6556勝品,消費性電子產品
6558興能高,電子零件元件
6560欣普羅,消費性電子產品
6561是方,通訊服務/INTERNET技術與基礎設施
6568宏觀,IC設計
6569醫揚,電腦系統業
6570維田,電腦系統業
6573虹揚-KY,分離式元件
6574霈方,時尚產業
6576逸達,醫藥產業
6577勁豐,顯示器/電腦系統業
6578達邦蛋白,生物科技/農林漁牧
6579研揚,電腦系統業
6581鋼聯,傳產其他
6582申豐,橡膠工業
6585鼎基,化學工業
6588東典光電,光通訊
6589台康生技,醫藥產業
6590普鴻,軟體業
6591動力-KY,電子零件元件
6592和潤企業,金融業/車輛整車
6593台灣銘板,電子其他/傳產其他
6594展匯科,傳輸介面/IC設計
6596寬宏藝術,休閒娛樂/傳播事業/文化創意產業
6598ABC-KY,體外診斷用醫材
6603富強鑫,機械
6605帝寶,汽機車零組件
6609瀧澤科,機械
6612奈米醫材,輔助與彌補用醫材
6613朋億*,設備儀器廠商
6615慧智,生物科技
6616特昇-KY,家居用品
6624萬年清,營造工程
6625必應,傳播事業
6629泰金-KY,傳產其他
6640均華,設備儀器廠商
6641基士德-KY,機械/水資源
6642富致,被動元件
6643M31,IC設計
6649台生材,輔助與彌補用醫材
6651全宇昕,分離式元件
6654天正國際,設備儀器廠商
6655科定,建材
6661威健生技,生物科技/體外診斷用醫材
6662樂斯科,體外診斷用醫材/診斷與監測用醫材
6664群翊,設備儀器廠商
6666羅麗芬-KY,時尚產業
6667信紘科,設備儀器廠商
6668中揚光,機械/數位相機
6669緯穎,電腦系統業
6670復盛應用,運動產業
6671三能-KY,傳產其他
6672騰輝電子-KY,印刷電路板相關
6674鋐寶科技,通訊設備/消費性電子產品
6679鈺太,IC設計
6680鑫創電子,電腦系統業
6683雍智科技,封測服務與材料
6684安格,IC設計
6689伊雲谷,電子通路/INTERNET技術與基礎設施
6691洋基工程,電子其他
6693廣閎科,IC設計/分離式元件
6695芯鼎,IC設計
6697東捷資訊,軟體業
6698旭暉應材,電子零件元件/設備儀器廠商
6703軒郁,INTERNET應用與服務/時尚產業
6706惠特,設備儀器廠商
6708天擎,IC設計
6712長聖,醫藥產業
6715嘉基,電子零件元件/傳輸介面
6716應廣,IC設計
6719力智,IC設計/分離式元件
6721信實,服務業/地產
6727亞泰金屬,設備儀器廠商
6728上洋,家電/服務業
6732昇佳電子,IC設計
6733博晟生醫,輔助與彌補用醫材
6735美達科技,設備儀器廠商
674191APP*-KY,軟體業/INTERNET技術與基礎設施
6743安普新,電子零件元件/電聲產品
6747亨泰光,輔助與彌補用醫材
6751智聯服務,軟體業
6752叡揚,軟體業
6753龍德造船,機械
6754匯僑設計,營造工程
6756威鋒電子,傳輸介面/IC設計
6761穩得,電子零件元件/電子通路
6762達亞,機械/手術與治療用醫材
6763綠界科技,軟體業
6767台微醫,輔助與彌補用醫材
6768志強-KY,傳產其他
6770力積電,IC製造
6781AES-KY,汽機車零組件/電力設備
6782視陽,輔助與彌補用醫材
6788華景電,設備儀器廠商
6789采鈺,IC封裝測試/IC製造/數位相機
6790永豐實,造紙業
6791虎門科技,軟體業
6792詠業,電子零件元件/通訊設備
6796晉弘,診斷與監測用醫材
6799來頡,IC設計
6803崑鼎,控股公司/傳產其他
6804明係,車輛整車
6806森崴能源,營造工程/電力設備
6807峰源-KY,家居用品
6823濾能,電子其他
6829千附精密,機械/設備儀器廠商
6830汎銓,設備儀器廠商
6834天二科技,被動元件
6835圓裕,電子零件元件/印刷電路板相關
6840東研信超,設備儀器廠商
6841長佳智能,診斷與監測用醫材
6843進典,機械
6854錼創科技-KY創,LED
6855數泓科,機械
6859伯特光,機械/數位相機
6863永道-KY,通訊設備
6865偉康科技,軟體業
6869雲豹能源-創,太陽能/電力/電力設備
6873泓德能源-創,太陽能/電力
6874倍力,軟體業
6912益鈞環科*-新,傳產其他
6929佑全-新,醫藥產業
6937天虹-新,設備儀器廠商
7402邑錡,消費性電子產品
7556意德士,設備儀器廠商
8011台通,通訊服務/軟體業/光通訊/電線電纜
8016矽創,手機零組件/IC設計
8021尖點,印刷電路板相關/電腦系統業
8024佑華,IC設計
8027鈦昇,設備儀器廠商
8028昇陽半導體,IC製造
8032光菱,電子通路
8033雷虎,電子零件元件/航天軍工/傳產其他
8034榮群,通訊設備
8038長園科,電池材料相關/電力設備
8039台虹,印刷電路板相關
8040九暘,IC設計
8042金山電,被動元件
8043蜜望實,被動元件/電子通路
8044網家,INTERNET應用與服務
8046南電,印刷電路板相關/封測服務與材料
8047星雲,設備儀器廠商
8048德勝,光通訊
8049晶采,面板業
8050廣積,電腦系統業
8054安國,IC設計
8059凱碩,通訊設備
8064東捷,設備儀器廠商
8066來思達,家居用品
8067志旭,電聲產品/電子通路/週邊產品/時尚產業
8068全達,軟體業/電子通路
8069元太,面板業
8070長華*,電子通路/封測服務與材料
8071能率網通,電子零件元件/電子通路/輔助與彌補用醫材
8072陞泰,電子通路/消費性電子產品
8074鉅橡,印刷電路板相關
8076伍豐,電腦系統業
8080永利聯合,營造工程
8081致新,IC設計
8083瑞穎,機械
8084巨虹,電子通路/週邊產品/旅館、餐飲
8085福華,面板零組件/電子零件元件/面板業
8086宏捷科,IC製造
8087華鎂鑫,太陽能/電力
8088品安,電子零件元件
8089康全電訊,通訊設備/光通訊
8091翔名,電子通路/設備儀器廠商
8092建暐,機械/設備儀器廠商
8093保銳,電子零件元件
8096擎亞,電子通路
8097常珵,通訊設備
8099大世科,軟體業/INTERNET技術與基礎設施
8101華冠,手機/消費性電子產品/穿戴式裝置/電腦系統業
8103瀚荃,電子零件元件
8104錸寶,面板業
8105凌巨,面板業
8107大億金茂,汽機車零組件
8109博大,電子零件元件
8110華東,IC封裝測試
8112至上,電子通路
8114振樺電,電腦系統業
8121越峰,被動元件
8131福懋科,電子零件元件/IC封裝測試/LED
8147正淩,電子零件元件
8150南茂,IC封裝測試/封測服務與材料
8155博智,印刷電路板相關
8163達方,車輛整車/週邊產品
8171天宇,汽機車零組件/電子零件元件/電力設備
8176智捷,通訊設備
8182加高,被動元件
8183精星,電腦系統業
8201無敵,車用電子/INTERNET技術與基礎設施/消費性電子產品
8210勤誠,電子零件元件
8213志超,印刷電路板相關
8215明基材,面板零組件
8222寶一,機械/航天軍工
8227巨有科技,IC設計
8234新漢,電腦系統業
8240華宏,面板零組件
8249菱光,數位相機
8255朋程,車用電子/分離式元件
8261富鼎,分離式元件
8271宇瞻,電子零件元件
8277商丞,電子零件元件/週邊產品
8279生展,生物科技/醫藥產業
8284三竹,軟體業
8289泰藝,被動元件
8291尚茂,印刷電路板相關
8299群聯,電子零件元件/傳輸介面/IC設計/週邊產品
8341日友,傳產其他
8342益張,家居用品/線材、盤元
8354冠好,化學工業/造紙業/傳產其他
8358金居,印刷電路板相關
8367建新國際,運輸事業
8374羅昇,機械/電力設備
8383千附,機械/營造工程/電子其他
8390金益鼎,傳產其他
8401白紗科,傳產其他
8403盛弘,醫藥產業/醫療器材通路/醫療管理服務
8404百和興業-KY,紡織中游/地產/傳產其他
8409商之器,INTERNET技術與基礎設施/診斷與監測用醫材
8410森田,電子零件元件
8411福貞-KY,傳產其他
8415大國鋼,線材、盤元/非鐵金屬
8416實威,軟體業/週邊產品
8418捷必勝-KY,機械
8420明揚,運動產業
8421旭源,傳產其他
8422可寧衛,傳產其他
8423保綠-KY,橡膠工業
8424惠普,建材
8426紅木-KY,營造工程
8429金麗-KY,成衣/傳產其他
8431匯鑽科,傳產其他
8432東生華,醫藥產業
8433弘帆,流通業
8435鉅邁,化學工業
8436大江,生物科技/食品加工/時尚產業
8437大地-KY,服務業
8438昶昕,電子化工材料/傳產其他
8440綠電,傳產其他
8442威宏-KY,時尚產業/傳產其他/運動產業
8443阿瘦,傳產其他
8444綠河-KY,建材
8446華研,傳播事業/文化創意產業
8450霹靂,傳播事業/文化創意產業
8454富邦媒,INTERNET應用與服務
8455大拓-KY,電力設備/印刷電路板相關/電子通路/設備儀器廠商
8462柏文,休閒娛樂
8463潤泰材,水泥/營造工程
8464億豐,家居用品
8466美吉吉-KY,建材
8467波力-KY,傳產其他/運動產業
8472夠麻吉,INTERNET應用與服務
8473山林水,營造工程/水資源
8476台境,營造工程
8477創業家,INTERNET應用與服務
8478東哥遊艇,機械
8481政伸,傳產其他
8482商億-KY,家居用品
8488吉源-KY,傳產其他
8489三貝德,服務業
8499鼎炫-KY,機械/電子零件元件
8905裕國,運輸事業/食品加工
8906花王,傳產其他
8908欣雄,石油及天然氣
8916光隆,成衣/家居用品/紡織中游
8917欣泰,石油及天然氣
8921沈氏,傳產其他
8923時報,傳播事業
8924大田,運動產業
8926台汽電,電力
8927北基,其他公用事業
8928鉅明,運動產業
8929富堡,紡織中游/造紙業
8930青鋼,建材
8931大汽電,電力/傳產其他
8932宏大,傳產其他
8933愛地雅,車輛整車
8935邦泰,傳產其他
8936國統,水泥/水資源
8937合騏,汽機車零組件/車輛整車
8938明安,傳產其他/運動產業
8940新天地,旅館、餐飲
8941關中,傳產其他
8942森鉅,建材
8996高力,傳產其他
910322康師傅-DR,食品加工/飲料相關
9103美德醫療-DR,其他醫療器材
9105泰金寶-DR,消費性電子產品/週邊產品/電腦系統業
910861神州-DR,軟體業/運輸事業
9110越南控-DR,汽機車零組件/車輛整車
911608明輝-DR,機械/軟體業/電線電纜/診斷與監測用醫材
911868同方友友-DR,LED
912000晨訊科-DR,通訊設備/手機/電腦系統業
9136巨騰-DR,電子零件元件
9802鈺齊-KY,傳產其他
9902台火,資產股/車輛整車/流通業
9904寶成,控股公司/傳產其他
9905大華,傳產其他
9906欣巴巴,地產
9907統一實,板鋼/化纖原料/傳產其他
9908大台北,石油及天然氣
9910豐泰,傳產其他/運動產業
9911櫻花,家居用品
9912偉聯,顯示器
9914美利達,機械/車輛整車
9917中保科,服務業/消費性電子產品
9918欣天然,石油及天然氣
9919康那香,紡織中游/造紙業
9921巨大,機械/車輛整車
9924福興,家居用品
9925新保,服務業/消費性電子產品
9926新海,石油及天然氣
9927泰銘,非鐵金屬
9928中視,傳播事業
9929秋雨,傳播事業/傳產其他
9930中聯資源,水泥/傳產其他
