stock_id,stock_name,market,industry,type
3305,昇貿,上市,其他電子業,印刷電路板相關/封測服務與材料
3306,鼎天,上櫃,通信網路業,通訊設備
3308,聯德,上市,電子零組件業,電子零件元件
3310,佳穎,上櫃,電子零組件業,車用金屬成型/電子零件元件/封測服務與材料
3311,閎暉,上市,通信網路業,汽機車零組件/穿戴式裝置
3312,弘憶股,上市,電子通路業,電子通路
3313,斐成,上櫃,其他業,大宗物資/農林漁牧
3317,尼克森,上櫃,半導體業,分離式元件
3321,同泰,上市,電子零組件業,印刷電路板相關
3322,建舜電,上櫃,電子零組件業,電子零件元件/週邊產品
3323,加百裕,上櫃,電腦及週邊設備業,電子零件元件/電力設備
3324,雙鴻,上櫃,其他電子業,電子零件元件
3325,旭品,上櫃,電腦及週邊設備業,電子零件元件
3332,幸康,上櫃,電子零組件業,電子零件元件
3338,泰碩,上市,電子零組件業,電子零件元件
3339,泰谷,上櫃,光電業,LED
3346,麗清,上市,汽車工業,LED
3349,寶德,上櫃,電腦及週邊設備業,電聲產品/週邊產品
3354,律勝,上櫃,電子零組件業,印刷電路板相關
3356,奇偶,上市,光電業,消費性電子產品
3357,臺慶科,上櫃,電子零組件業,被動元件/電子零件元件
3360,尚立,上櫃,電子通路業,數位相機/電子通路
3362,先進光,上櫃,光電業,數位相機
3363,上詮,上櫃,通信網路業,光通訊
3372,典範,上櫃,半導體業,IC封裝測試
3373,熱映,上櫃,其他電子業,設備儀器廠商/診斷與監測用醫材
3374,精材,上櫃,半導體業,IC封裝測試
3376,新日興,上市,電子零組件業,電子零件元件
3379,彬台,上櫃,電機機械,機械
3380,明泰,上市,通信網路業,通訊設備
3388,崇越電,上櫃,電子零組件業,化學工業
3390,旭軟,上櫃,電子零組件業,印刷電路板相關
3402,漢科,上櫃,其他電子業,電子其他
3406,玉晶光,上市,光電業,數位相機/LED
3413,京鼎,上市,半導體業,設備儀器廠商
3416,融程電,上市,電腦及週邊設備業,電腦系統業
3419,譁裕,上市,通信網路業,通訊設備/光通訊
3426,台興,上櫃,電機機械,電力設備/電子通路
3430,奇鈦科,上櫃,化學工業,化學工業
3432,台端,上市,電子零組件業,電子零件元件
3434,哲固,上櫃,光電業,消費性電子產品/電腦系統業
3437,榮創,上市,光電業,LED
3438,類比科,上櫃,半導體業,IC設計
3441,聯一光,上櫃,光電業,數位相機/傳產其他
3443,創意,上市,半導體業,IC設計
3444,利機,上櫃,電子通路業,電子通路
3447,展達,上市,通信網路業,通訊設備/光通訊/消費性電子產品
3450,聯鈞,上市,半導體業,IC封裝測試/光通訊
3454,晶睿,上市,光電業,消費性電子產品
3455,由田,上櫃,光電業,設備儀器廠商
3465,進泰電子,上櫃,電子零組件業,電子零件元件
3466,致振,上櫃,通信網路業,消費性電子產品
3479,安勤,上櫃,電腦及週邊設備業,電腦系統業
3481,群創,上市,光電業,面板業
3483,力致,上櫃,電腦及週邊設備業,電子零件元件
3484,崧騰,上櫃,電子零組件業,電子零件元件
3489,森寶,上櫃,建材營造業,營造工程/地產
3490,單井,上櫃,光電業,太陽能/設備儀器廠商
3491,昇達科,上櫃,通信網路業,通訊設備
3492,長盛,上櫃,電子零組件業,電子零件元件
3494,誠研,上市,電腦及週邊設備業,週邊產品
3498,陽程,上櫃,其他電子業,機械/設備儀器廠商
3499,環天科,上櫃,通信網路業,通訊設備
3501,維熹,上市,電子零組件業,電子零件元件
3504,揚明光,上市,光電業,顯示器/數位相機/週邊產品
3508,位速,上櫃,其他電子業,電子零件元件/設備儀器廠商
3511,矽瑪,上櫃,電子零組件業,電子零件元件
3512,皇龍,上櫃,建材營造業,電子零件元件/地產
3515,華擎,上市,電腦及週邊設備業,電腦系統業
3516,亞帝歐,上櫃,光電業,電子零件元件/LED
3518,柏騰,上市,其他電子業,電子零件元件
3520,華盈,上櫃,電子零組件業,電子零件元件/通訊設備/軟體業
3521,鴻翊,上櫃,電腦及週邊設備業,營造工程/電腦系統業
3522,御頂,上櫃,觀光事業,旅館、餐飲
3523,迎輝,上櫃,光電業,面板零組件
3526,凡甲,上櫃,電子零組件業,電子零件元件
3527,聚積,上櫃,半導體業,IC設計
3528,安馳,上市,電子通路業,電子通路
3529,力旺,上櫃,半導體業,IC設計
3530,晶相光,上市,半導體業,IC設計
3531,先益,上櫃,光電業,面板零組件
3532,台勝科,上市,半導體業,IC製造
3533,嘉澤,上市,電子零組件業,電子零件元件
3535,晶彩科,上市,光電業,設備儀器廠商
3536,誠創,上市,半導體業,分離式元件
3537,堡達,上櫃,電子零組件業,被動元件/電子通路
3540,曜越,上櫃,電腦及週邊設備業,電子零件元件
3541,西柏,上櫃,其他電子業,消費性電子產品
3543,州巧,上市,光電業,家居用品/電子零件元件
3545,敦泰,上市,半導體業,手機零組件/IC設計
3546,宇峻,上櫃,文化創意業,遊戲產業
3548,兆利,上櫃,電子零組件業,電子零件元件
3550,聯穎,上市,電子零組件業,電子零件元件
3551,世禾,上櫃,其他電子業,設備儀器廠商
3552,同致,上櫃,其他電子業,車用電子
3555,重鵬,上櫃,半導體業,食品加工/電子通路
3556,禾瑞亞,上櫃,半導體業,IC設計
3557,嘉威,上市,其他業,家居用品
3558,神準,上櫃,通信網路業,通訊設備
3563,牧德,上市,光電業,設備儀器廠商
3564,其陽,上櫃,通信網路業,通訊設備
3567,逸昌,上櫃,半導體業,IC封裝測試
3570,大塚,上櫃,資訊服務業,軟體業
3576,聯合再生,上市,光電業,太陽能
3577,泓格,上櫃,電腦及週邊設備業,電腦系統業
3580,友威科,上櫃,其他電子業,設備儀器廠商
