date,stock_id,Trading_Volume,Trading_money,open,high,low,close,spread,Trading_turnover,slowk,slowd,5MA,10MA,20MA,RSI,macd,macdsignal,macdhist,upperband,middleband,lowerband
2021-01-04,2330,39489959,21127581248,530.0,540.0,528.0,536.0,6.0,33316,,,,,,,,,,,,
2021-01-05,2330,34839391,18761831567,536.0,542.0,535.0,542.0,6.0,28512,,,,,,,,,,,,
2021-01-06,2330,55614434,30572783229,555.0,555.0,541.0,549.0,7.0,55462,,,,,,,,,,,,
2021-01-07,2330,53392763,30018630685,554.0,570.0,553.0,565.0,16.0,47905,,,,,,,,,,,,
2021-01-08,2330,62957148,36339702855,580.0,580.0,571.0,580.0,15.0,56426,,,554.4,,,,,,,,,
2021-01-11,2330,52771778,30535694908,577.0,584.0,574.0,584.0,4.0,49539,,,564.0,,,,,,,,,
2021-01-12,2330,52605212,30958142918,583.0,597.0,582.0,591.0,7.0,59595,,,573.8,,,,,,,,,
2021-01-13,2330,75707681,45419255149,595.0,605.0,593.0,605.0,14.0,59966,,,585.0,,,,,,,,,
2021-01-14,2330,90309708,53477747672,587.0,597.0,587.0,592.0,-13.0,111849,,,590.4,,,,,,,,,
2021-01-15,2330,100998199,61876473170,621.0,625.0,601.0,601.0,9.0,105961,,,594.6,574.5,,,,,,,,
2021-01-18,2330,50388664,30406611574,608.0,608.0,594.0,607.0,6.0,49008,,,599.2,581.6,,,,,,,,
2021-01-19,2330,52947466,32934404720,618.0,632.0,613.0,627.0,20.0,55490,,,606.4,590.1,,,,,,,,
2021-01-20,2330,95484470,61279319857,633.0,650.0,631.0,647.0,20.0,95577,89.48161543098252,83.22690436614486,614.8,599.9,,,,,,,,
2021-01-21,2330,97590371,64624578866,640.0,679.0,640.0,673.0,26.0,115004,94.71971066907776,88.68662514232135,631.0,610.7,,,,,,,,
2021-01-22,2330,134238314,88023707664,649.0,665.0,649.0,649.0,-24.0,235186,86.5201369599125,90.2404876866576,640.6,617.6,,80.21390374331551,,,,,,
2021-01-25,2330,98608285,62583576696,642.0,646.0,626.0,633.0,-16.0,154134,71.11929307805596,84.11971356901542,645.8,622.5,,73.44632768361582,,,,,,
2021-01-26,2330,114797609,71638808826,632.0,640.0,610.0,617.0,-16.0,177764,50.560286866875835,69.3999056349481,643.8,625.1,,67.32888900693209,,,,,,
2021-01-27,2330,72823691,44931754892,618.0,625.0,611.0,615.0,-2.0,77274,35.77152600170503,52.483701982212274,637.4,626.1,,66.58234855571561,,,,,,
2021-01-28,2330,104181514,62647021616,600.0,608.0,598.0,601.0,-14.0,157835,21.849957374254046,36.06059008094497,623.0,627.0,,61.446286509527056,,,,,,
2021-01-29,2330,96875889,58399782288,619.0,619.0,591.0,591.0,-10.0,129394,10.980392156862742,22.86729184427394,611.4,626.0,600.25,58.004458413268665,,,,670.2696401019028,600.25,530.2303598980972
2021-02-01,2330,70161939,42004241697,595.0,612.0,587.0,611.0,20.0,81346,11.440750213128725,14.75703324808184,607.0,626.4,604.0,62.52555163162654,,,,667.5924523823386,604.0,540.4075476176614
2021-02-02,2330,80724207,50938461582,629.0,638.0,622.0,632.0,21.0,82687,24.999999999999996,15.807047456663824,610.0,626.9,608.5,66.59241297796187,,,,666.3878225536253,608.5,550.6121774463747
2021-02-03,2330,59763227,37926170035,638.0,642.0,630.0,630.0,-2.0,56515,43.37606837606837,26.605606196399034,613.0,625.2,612.55,65.85935725334232,,,,664.220010644476,612.55,560.8799893555239
2021-02-04,2330,47547873,29765963971,626.0,632.0,620.0,627.0,-3.0,44668,57.2792862586525,41.88511821157363,618.2,620.6,615.65,64.70868730763874,,,,662.7765318053445,615.65,568.5234681946555
2021-02-05,2330,57350831,36435290641,638.0,641.0,631.0,632.0,5.0,51140,68.24766570529282,56.30100678000457,626.4,618.9,618.25,65.78174859634206,,,,662.8947085330379,618.25,573.6052914669621
2021-02-17,2330,115578402,76728732025,663.0,668.0,660.0,663.0,31.0,91925,81.14731749383348,68.89142315259295,636.8,621.9,622.2,71.55631023136766,,,,667.9890816680098,622.2,576.4109183319903
2021-02-18,2330,54520341,36024245089,664.0,665.0,656.0,660.0,-3.0,49914,88.58959970071078,79.32819429994571,642.4,626.2,625.65,70.3195611277943,,,,671.9113229382829,625.65,579.3886770617171
2021-02-19,2330,51651844,33676514428,656.0,657.0,647.0,652.0,-8.0,63171,88.06584362139915,85.9342536053145,646.8,629.9,628.0,66.99430598283182,,,,674.600429182574,628.0,581.399570817426
2021-02-22,2330,39512078,25885948680,660.0,662.0,650.0,650.0,-2.0,47116,82.71604938271604,86.45716423494201,651.4,634.8,630.9,66.152102244706,,,,675.3472721322698,630.9,586.4527278677301
2021-02-23,2330,52868029,33779796222,641.0,643.0,633.0,641.0,-9.0,73349,67.25823045267488,79.34670781893004,653.2,639.8,632.9,62.35338882359095,,,,675.3400754005003,632.9,590.4599245994997
2021-02-24,2330,80010637,50333904697,627.0,636.0,625.0,625.0,-16.0,138264,43.98148148148147,64.65192043895748,645.6,641.2,633.8,56.177269679325725,,,,674.7419100678048,633.8,592.8580899321951
